"state","date","day","hour"
"MG","2018-01","Sunday   ","14"
"MG","2017-05","Monday   ","21"
"SP","2018-03","Saturday ","22"
"SP","2018-04","Wednesday","09"
"PR","2017-05","Monday   ","13"
"SP","2018-03","Monday   ","17"
"CE","2018-05","Tuesday  ","21"
"MG","2017-05","Thursday ","19"
"MG","2017-05","Thursday ","19"
"RJ","2018-04","Wednesday","21"
"RJ","2018-02","Wednesday","16"
"RJ","2018-02","Wednesday","16"
"SP","2017-08","Thursday ","16"
"MG","2018-05","Tuesday  ","19"
"PA","2017-08","Friday   ","16"
"RJ","2017-09","Sunday   ","21"
"SP","2018-04","Tuesday  ","19"
"SP","2018-04","Tuesday  ","10"
"MG","2018-02","Saturday ","17"
"SP","2018-02","Wednesday","22"
"RS","2018-03","Wednesday","22"
"SP","2018-08","Saturday ","21"
"SP","2017-08","Monday   ","12"
"SP","2018-03","Monday   ","18"
"SP","2018-03","Monday   ","18"
"GO","2017-09","Tuesday  ","18"
"MS","2018-02","Sunday   ","16"
"SP","2018-05","Tuesday  ","21"
"SP","2017-12","Sunday   ","18"
"BA","2018-08","Friday   ","16"
"MG","2017-04","Sunday   ","23"
"SC","2018-01","Saturday ","13"
"RJ","2017-11","Wednesday","17"
"SP","2018-05","Sunday   ","21"
"RJ","2017-08","Wednesday","18"
"SP","2017-07","Wednesday","00"
"SP","2018-03","Monday   ","11"
"RS","2017-05","Monday   ","22"
"SP","2018-07","Sunday   ","23"
"SP","2018-06","Saturday ","04"
"SP","2017-12","Sunday   ","14"
"MG","2017-12","Friday   ","23"
"PR","2018-08","Monday   ","17"
"PR","2018-08","Monday   ","17"
"PR","2018-08","Monday   ","17"
"SP","2018-05","Saturday ","09"
"SC","2017-04","Monday   ","00"
"SP","2017-11","Sunday   ","14"
"RJ","2018-05","Saturday ","13"
"SP","2018-08","Thursday ","00"
"TO","2017-09","Wednesday","13"
"RJ","2018-07","Wednesday","16"
"SP","2018-04","Tuesday  ","11"
"SP","2017-04","Thursday ","12"
"MG","2017-08","Tuesday  ","19"
"SP","2018-02","Thursday ","15"
"SP","2017-05","Saturday ","14"
"RJ","2017-03","Monday   ","23"
"MG","2017-06","Monday   ","20"
"SC","2018-01","Thursday ","13"
"SP","2018-08","Thursday ","21"
"RS","2017-07","Thursday ","14"
"RS","2017-07","Thursday ","14"
"RJ","2017-07","Wednesday","17"
"RJ","2017-07","Wednesday","17"
"MG","2017-11","Wednesday","18"
"MG","2017-11","Wednesday","18"
"RJ","2018-01","Friday   ","10"
"AL","2018-01","Tuesday  ","20"
"SP","2018-05","Thursday ","12"
"CE","2017-04","Thursday ","21"
"RJ","2018-05","Thursday ","10"
"SP","2017-09","Sunday   ","10"
"RJ","2018-05","Wednesday","18"
"SC","2018-03","Monday   ","13"
"RJ","2017-10","Tuesday  ","15"
"RS","2017-12","Thursday ","16"
"SP","2018-03","Tuesday  ","22"
"SP","2017-11","Thursday ","15"
"SP","2018-03","Thursday ","17"
"SP","2017-04","Sunday   ","16"
"CE","2017-04","Tuesday  ","11"
"SP","2017-09","Thursday ","18"
"RJ","2017-11","Sunday   ","15"
"SP","2018-03","Monday   ","21"
"SP","2018-03","Wednesday","11"
"RS","2018-02","Thursday ","14"
"RS","2018-02","Thursday ","14"
"RS","2018-08","Friday   ","17"
"BA","2017-11","Tuesday  ","22"
"SP","2017-05","Wednesday","20"
"BA","2017-08","Saturday ","11"
"BA","2017-08","Saturday ","11"
"RS","2017-05","Wednesday","19"
"SP","2018-01","Friday   ","09"
"RS","2018-08","Tuesday  ","21"
"BA","2017-02","Monday   ","16"
"SP","2018-02","Thursday ","14"
"SP","2017-03","Tuesday  ","20"
"MG","2017-03","Thursday ","17"
"SP","2018-03","Thursday ","11"
"SP","2017-04","Thursday ","18"
"SP","2017-12","Monday   ","01"
"BA","2018-07","Tuesday  ","16"
"MG","2017-09","Saturday ","17"
"SP","2018-08","Monday   ","06"
"SP","2018-01","Friday   ","00"
"SP","2018-04","Friday   ","11"
"SP","2018-05","Saturday ","10"
"RJ","2018-04","Monday   ","18"
"SP","2017-10","Sunday   ","20"
"SP","2018-06","Wednesday","14"
"SP","2017-11","Wednesday","21"
"RJ","2017-06","Wednesday","16"
"RJ","2017-04","Monday   ","12"
"SP","2017-12","Thursday ","01"
"SP","2018-07","Monday   ","10"
"BA","2018-02","Sunday   ","10"
"BA","2018-02","Sunday   ","10"
"SP","2018-02","Saturday ","22"
"SP","2018-02","Saturday ","22"
"BA","2018-03","Tuesday  ","09"
"SP","2017-05","Thursday ","23"
"RJ","2017-12","Tuesday  ","15"
"SP","2018-01","Monday   ","13"
"SP","2018-06","Monday   ","21"
"RJ","2018-03","Saturday ","14"
"SP","2018-01","Thursday ","16"
"SP","2018-06","Sunday   ","15"
"RJ","2018-05","Thursday ","20"
"RJ","2018-05","Thursday ","20"
"SP","2017-08","Friday   ","11"
"RJ","2017-05","Sunday   ","08"
"SP","2018-08","Monday   ","16"
"RS","2017-08","Thursday ","21"
"MS","2018-04","Friday   ","23"
"RJ","2017-11","Wednesday","08"
"DF","2017-09","Thursday ","04"
"RJ","2017-09","Saturday ","10"
"SP","2018-04","Monday   ","17"
"BA","2018-06","Tuesday  ","14"
"RJ","2017-08","Wednesday","23"
"SP","2018-06","Wednesday","20"
"SP","2017-08","Wednesday","21"
"SP","2018-01","Saturday ","23"
"SP","2018-01","Saturday ","23"
"SP","2017-09","Tuesday  ","13"
"SP","2018-04","Sunday   ","10"
"SP","2018-04","Sunday   ","10"
"SP","2018-04","Sunday   ","10"
"SP","2018-04","Sunday   ","10"
"SP","2018-04","Sunday   ","10"
"SP","2017-11","Friday   ","00"
"PE","2017-10","Wednesday","20"
"SP","2017-08","Friday   ","18"
"RS","2017-03","Thursday ","22"
"SP","2018-03","Friday   ","16"
"RJ","2017-12","Monday   ","10"
"RJ","2017-12","Monday   ","10"
"SP","2017-11","Monday   ","18"
"MG","2018-01","Monday   ","15"
"SP","2018-06","Saturday ","09"
"RJ","2018-05","Friday   ","19"
"RJ","2017-12","Sunday   ","17"
"PE","2017-04","Thursday ","12"
"PR","2018-08","Tuesday  ","17"
