"state","date","total_sales","total_transactions","q25th","median","avg_price","q75th","min_price","max_price"
"AC","2017-01",589,4,100,135,147,182,100,220
"AC","2017-02",450,6,20,20,75,144,20,185
"AC","2017-03",455,2,142,228,228,313,57,399
"AC","2017-04",1162,5,75,244,232,250,45,549
"AC","2017-05",2094,8,18,48,262,337,13,962
"AC","2017-06",385,4,44,85,96,137,26,190
"AC","2017-07",618,5,57,110,124,120,32,300
"AC","2017-08",637,4,91,149,159,218,63,276
"AC","2017-09",1786,5,148,190,357,195,54,1200
"AC","2017-10",735,6,69,86,123,143,52,285
"AC","2017-11",649,5,45,145,130,190,20,250
"AC","2017-12",1100,6,97,178,183,224,48,388
"AC","2018-01",882,6,59,89,147,104,37,510
"AC","2018-02",201,3,46,79,67,94,14,109
"AC","2018-03",97,2,38,49,49,59,28,70
"AC","2018-04",422,4,63,87,106,129,29,220
"AC","2018-05",1364,2,604,682,682,761,525,840
"AC","2018-06",427,3,124,130,143,154,119,179
"AC","2018-07",1469,9,80,80,163,174,80,528
"AC","2018-08",446,3,113,159,149,190,67,221
"AL","2016-10",82,2,37,41,41,46,33,50
"AL","2017-01",393,3,131,132,131,132,130,132
"AL","2017-02",2616,12,54,98,218,267,30,949
"AL","2017-03",1174,10,57,112,117,183,35,200
"AL","2017-04",4718,24,55,90,197,218,12,975
"AL","2017-05",4773,28,62,91,170,160,17,1200
"AL","2017-06",951,10,35,98,95,145,29,200
"AL","2017-07",2336,19,75,114,123,175,19,250
"AL","2017-08",8972,19,86,280,472,805,60,1597
"AL","2017-09",4365,20,67,106,218,239,14,1798
"AL","2017-10",5344,33,79,115,162,175,18,680
"AL","2017-11",5936,33,59,140,180,190,15,1045
"AL","2017-12",2223,12,92,122,185,227,12,624
"AL","2018-01",5134,41,31,70,125,158,15,690
"AL","2018-02",4593,29,32,95,158,160,9,899
"AL","2018-03",6996,34,48,83,206,167,20,1595
"AL","2018-04",6106,30,54,105,204,187,13,1476
"AL","2018-05",3657,19,53,119,192,208,13,799
"AL","2018-06",3730,26,49,87,143,141,24,1006
"AL","2018-07",3956,23,61,80,172,194,20,649
"AL","2018-08",2253,17,31,100,133,180,16,389
"AM","2017-02",902,8,34,97,113,135,20,343
"AM","2017-03",631,6,62,120,105,147,32,160
"AM","2017-04",836,13,49,60,64,90,14,110
"AM","2017-05",1072,9,56,130,119,170,9,199
"AM","2017-06",169,1,170,170,170,170,170,170
"AM","2017-07",705,7,73,105,101,105,55,190
"AM","2017-08",1276,6,53,157,213,274,51,580
"AM","2017-09",1163,10,44,75,116,169,24,271
"AM","2017-10",70,3,20,20,24,25,20,31
"AM","2017-11",2635,10,26,159,264,253,13,1340
"AM","2017-12",1029,6,34,46,172,147,28,700
